,tconst,originalTitle,backdrop_path,poster_path
3772,tt0026556,Justin de Marseille,/s43esWJI4MYh30mgzDxT5s1M0nY.jpg,/lYPkws6YeYUDEHF6VN1sViN2JH7.jpg
3774,tt0026564,La kermesse héroïque,/hOwin1ANIgj82lP2dy7dqGRUv1D.jpg,/5C4owFvEeQ26u79dVUFm3mIHW6M.jpg
3813,tt0026660,Lucrèce Borgia,/teTLPlDoQBVM5xZmcmyhskwHZxU.jpg,/z3k5rkCJxNWAFua7MFgB8bi9AkX.jpg
3908,tt0026859,Pension Mimosas,/z15D2Lm0PDwBvSh3EkETgyiMlDZ.jpg,/79b7CHlcR8PYXJgCy30NTWDC4w8.jpg
4059,tt0027244,L'Équipage,/bY6LsUBOzw3RiGSLxZVyVhrb6xn.jpg,/aDxQskouH5wDtiBd7C6D7V4td54.jpg
4080,tt0027296,Anne-Marie,/7Q62aXW0NXx8zUSKXoGLRT7nDmn.jpg,/lyflRv681HUB3hg6t6MWsxt5a4l.jpg
4104,tt0027336,Les bas-fonds,/m52b2oxpV1ScHjLEwjsgtnkdhQt.jpg,/9jKTFaQE4jYeMRqoY1tR1Flp73n.jpg
4113,tt0027342,La belle équipe,/3qiU4WNiU9SNkNdHfKsom93yLpC.jpg,/fyTcNWIrBuy4yrh6avRpz4ZahNs.jpg
4178,tt0027489,César,/pmP65So9dNeMKpu1RYFqK5q3Z9M.jpg,/bD2tr5HY23lWMw5b4LgI6YunCPA.jpg
4207,tt0027552,Drôle de drame,/iJOjjxy4aTZrjMbYDPzlnH1sxRR.jpg,/p0I4QFPCDEh6xkKNEGDwH1zD35x.jpg
4218,tt0027607,Fantômas,/2MPUqjLyyeWLug2jaXZsYong937.jpg,/rCE4Da0dWbeAjaP1shF8B8DhWTF.jpg
4299,tt0027758,L'homme du jour,/lIdsAJK0lWAGLHcXsgRm12sOIZ5.jpg,/5UgoNUBhNk0Si6yXeNYlbk7R1sO.jpg
4365,tt0027951,Mayerling,/9yRSSXOogx6MWYJWEGdWmPxZSH.jpg,/vrfEIbIi8mcQ6jzCvpkmrx62gC4.jpg
4407,tt0027978,Mon père avait raison,/A7htnja0f6P1sjJN5rWJBS2vkV0.jpg,/8FIhabFjqDfCCOm5afSa2HgiNSZ.jpg
4496,tt0028201,Le roman d'un tricheur,/m2FA2TCgTTgrH3tRAtoo3e8Yyq5.jpg,/6WgBaeTHk1ZKE03sIxtVy5ApBYS.jpg
4546,tt0028288,Razumov: Sous les yeux d'occident,/l1KxGp21CF4KyYx2iv8HBqpslKe.jpg,/v3h7RcBTifVQ3W1yDXWQcnDRLq0.jpg
4647,tt0028438,Un grand amour de Beethoven,/5jwTOhjcbMuIAjKqVitXmot6AiE.jpg,/1ordCH7tY15L5ivgYvR7GqsLPnQ.jpg
4684,tt0028567,L'alibi,/3YWd3baZRnH24c9wypKgSGkB4pJ.jpg,/n6WZOoLCrcT7ehswoaSvCsbdr9K.jpg
4783,tt0028747,Courrier Sud,/4Sv1TsZgLL4zpK1nE64l925iJjb.jpg,/bxub8vYVcm3W9BQN2P2SyTMXlhz.jpg
4785,tt0028756,La dame de Malacca,/ag7n5GE7EbACrZnMjR80zUkJoE9.jpg,/yPPNXCIFQV2VnVUV939WXIdvwu7.jpg
4837,tt0028847,Faisons un rêve...,/glq5jW2pNN322YO3Cdq8FvtYO9E.jpg,/dyjGPZcM4taOoJ3TVm3gZL4FmeT.jpg
4873,tt0028950,La grande illusion,/yNraM35Vsga5x54whRh7BvQ9afm.jpg,/lWg41zE0FVixkNsFgxnlRyvDYv9.jpg
4908,tt0028959,Gribouille,/fjJbWSJ4coURkRrgguElJU0SxWs.jpg,/qVFlbP68ClZDw3muyM5KEhWodTw.jpg
4911,tt0028966,Gueule d'amour,/iwMLeNxVKxELQwH4mXoUjAzOL6C.jpg,/pBWr0M0gtSe9hypscHc5wMeiRtO.jpg
4926,tt0028980,Regain,/dIdVLy6VVS93wBQMy5q9crnHRNa.jpg,/zJxF6qc6MhR4C98Ryuj4HOX5EdE.jpg
5088,tt0029235,Le messager,/mU75bbrDwKpUkmU9bhx0Eol1sGg.jpg,/vFqlzpcr5U8AoGkhkD2o6heUIZ4.jpg
5171,tt0029394,Les perles de la couronne,/5uN1qBH5gjMaLoV7DwSD82BBCqq.jpg,/gNVbuQcFHX1Kf77fVwiYsQ6phap.jpg
5204,tt0029453,Pépé le Moko,/rk0JRAkxRy0ABBiasvZucLQ0qlB.jpg,/RqwmPaeb7IPBxrWOLlGLVUqB7k.jpg
5413,tt0029706,Un carnet de bal,/b5FZcn9s1KivcUyVHtKNl0irVQQ.jpg,/9cSKDlW2zatHjzXH786pCCXOTLw.jpg
5471,tt0029802,Yoshiwara,/zJGYiEW1sRJgV3yxilA2zm5ZFvX.jpg,/eIUb4x3rU4AHGlOJO3oQKMBpCcm.jpg
5516,tt0029826,L'étrange Monsieur Victor,/7KhVqYFkMfa1diBneGOauvvGZSn.jpg,/HywelmyBYVB81G1hXxRM5lRUva.jpg
5669,tt0029957,La bête humaine,/y9RKadQqY7KrplQx24LkgNBJ8Tj.jpg,/9i3YbpFnn6pjGdS7uhFmoAuCZgt.jpg
5726,tt0030062,Les disparus de St. Agil,/2Obu5N4pep0cRR34578yQ4nZdWj.jpg,/nRtX2gRTIT860yd2V0O91sEZ4nS.jpg
5753,tt0030100,Entrée des artistes,/6D9xsEboJlALFOReOx87CekB6MY.jpg,/bunXpU8zXZyfEcAAw7yVg7RHrLQ.jpg
5754,tt0030127,La femme du boulanger,/tGwMVVSpt9jTQSHgmtqqUpMVj1.jpg,/a1vdBRiPrtZwsCbGjTkg9WPwpkX.jpg
5792,tt0030180,Gibraltar,/uH3jRQ2JGYciNYJScywWDyJxMsH.jpg,/eterRFLWAiJgv4EKwlYLP3FdWpn.jpg
5849,tt0030252,Hôtel du Nord,/k6U0BEzQkGyfDFMPpcYkkw37DZK.jpg,/18VMpy9IGsyKM9v7mfG2L7kXkj6.jpg
5951,tt0030424,La Marseillaise,/1eCeFCvD3kQ105xe8U2eAuveBWD.jpg,/r3O8HLnNFUa2FU7HzSM8oiA2D2c.jpg
5988,tt0030622,La principessa Tarakanova,/4clYzEJCqPFNvJsZsDqYnDSX927.jpg,/nWKkgLjZGFulhHZYfEvR4NGdQSz.jpg
5994,tt0030630,Prisons de femmes,/oh9yIpSgaQmoab8BEB5HcBX4DEl.jpg,/md8TH84MEbRFzBvsmhgC4XlmZ0A.jpg
6009,tt0030642,Quadrille,/pxATVaQbEDryoXrwEbIVQjESJ1K.jpg,/tMAPlVrpLKX9rs3AxP2LS1Xwpk7.jpg
6011,tt0030643,Le quai des brumes,/34NucDwsuYWKjvxRUs1Z8KeOwr0.jpg,/6uDVpuGN20qaBfGkP1qhnzB4CvX.jpg
6028,tt0030671,Retour à l'aube,/xzUniUUup6aY0a7r6s5R7Sbyk27.jpg,/ccNrsZxztzDLPAcHtDIZp2yOQ0h.jpg
6035,tt0030706,Le récif de corail,/rhodNbDNJdU1ykso4Ca7crKPCFH.jpg,/r2oaLhq0fvrY3OeTCyGCWBVnxlF.jpg
6040,tt0030722,Le schpountz,/lZxHykSrsHepw9AApsvMDUJ9U3d.jpg,/434zwQQAKAGzVL7Lr1nEHQtQUgy.jpg
