,tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,production_countries,primaryName
5228,tt1728130,Kill Me Please,2010,95,Comedy,6.3,985,"FR', 'BE","Muriel Bersy,Ingrid Heiderscheidt,Benoît Poelvoorde,Aurélien Recoing,Stéphane Malandrin,Nicolas Buysse,Virgile Bramly,Gérard Rambert,Jérôme Colin"
5230,tt1729630,10 jours en or,2012,95,"Comedy,Drama",5.9,1051,FR,"Olivier Claverie,Franck Dubosc,Grégoire Oestermann,Claude Rich,Rufus,Eric Godon,Marie Kremer,Tatiana Rojo,Stéphanie Pillonca,Mathis Touré"
5232,tt1730697,Hollywoo,2011,107,Comedy,5.1,1981,FR,"Jack Brand,Jamel Debbouze,Nikki Deloach,Luc Antoni,Grégoire Bonnet,Florence Foresti,Rakefet Abergel,Kaitlyn Black,Robert Bradvica,Aurore Abraham"
5236,tt1735200,When Pigs Have Wings,2011,98,Comedy,7.0,3523,"FR', 'DE', 'BE","Gassan Abbas,Baya Belal,Sasson Gabay,Khalifa Natour,Ulrich Tukur,Lotfi Abdelli,Myriam Tekaïa,Ido Shaked,Khaled Riani,Uri Gabay"
5237,tt1736636,Poupoupidou,2011,102,"Comedy,Crime,Mystery",6.6,2965,FR,"Guillaume Gouix,Arsinée Khanjian,Olivier Rabourdin,Jean-Paul Rouve,Eric Ruf,Lyès Salem,Ken Samuels,Sophie Quinton,Joséphine de Meaux,Clara Ponsot"
5241,tt1744857,Un jour mon père viendra,2012,99,Comedy,5.6,432,FR,"Jamie Bamber,François Berléand,Sébastien Cotterot,Anne-Cécile Crapie,Joël Demarty,Gérard Jugnot,Hubert Saint-Macary,Olivia Ruiz,Laurent Mouton,Laurence Arné"
5244,tt1753584,Chroniques sexuelles d'une famille d'aujourd'hui,2012,85,"Comedy,Drama,Romance",5.3,4770,FR,"Yan Brian,Valérie Maës,Stephan Hersoen,Mathias Melloul,Adeline Rebeillard,Grégory Annoni,Laetitia Favart,Leïla Denio,Nathan Duval,Benjamin Houot"
5247,tt1754331,Le grand tout,2015,131,"Comedy,Drama,Sci-Fi",7.6,47,FR,"Benjamin Boyer,Jauris Casanova,Pierre-Alain de Garrigues,Hélène Seuzaret,Laure Gouget"
5251,tt1754787,Les tribulations d'une caissière,2011,102,"Comedy,Romance",5.4,453,FR,"Gilles Cohen,Jean-Luc Couchard,Marc Lavoine,Anne Loiret,Firmine Richard,Michel Siksik,Elsa Zylberstein,Nicolas Giraud,Déborah François,Alice Belaïdi"
5256,tt1757912,"Titeuf, le film",2011,87,"Animation,Comedy,Family",5.8,721,"FR', 'CH","Johnny Hallyday,Mélanie Bernier,Jean-Luc Couchard,Nathalie Homs,Danielle Hazan,Sam Karmann,Zabou Breitman,Emilie Blon-Metzinger,Emilie Blon-Metzinger,Emilie Blon-Metzinger,Donald Reignoux,Donald Reignoux,Tony Eli"
5259,tt17634642,Les petites victoires,2023,89,Comedy,6.3,593,FR,"Michel Blanc,Lionel Abelanski,Marie Bunel,Marie-Pierre Casey,Caroline Ferrus,Julia Piaton,Franck Trillot,India Hair,Sébastien Chassagne,Géraldine Schitter"
5261,tt1764625,Las aventuras de Tadeo Jones,2012,92,"Adventure,Animation,Comedy",5.9,9113,"FR', 'ES","Félix Benito,Carles Canut,José Corbacho,José Corbacho,Miguel Ángel Jenner,Pep Anton Muñoz,Michelle Jenner,Luis Posada,José Mota,Meritxell Ané,Óscar Barberán"
5266,tt1772424,Et maintenant on va où?,2011,110,"Comedy,Drama",7.4,13530,"EG', 'FR', 'IT', 'LB', 'QA","Nadine Labaki,Ali Haidar,Antoinette Noufaily,Kevin Abboud,Julian Farhat,Yvonne Maalouf,Claude Baz Moussawbaa,Layla Hakim,Mostafa Al Sakka,Petra Saghbini"
5271,tt1784575,Parada,2011,115,"Comedy,Drama,History",7.3,12981,"HR', 'FR', 'MK', 'RS', 'SI', 'GB","Dejan Acimovic,Mladen Andrejevic,Nikola Kojo,Toni Mihajlovski,Goran Navojec,Hristina Popovic,Goran Jevtic,Natasa Markovic,Milos Samolov,Relja Popovic"
